county,year,dayswaqi,maqi
Philadelphia,2007,365,205
Pike,2010,335,179
Jefferson,1989,363,212
Bronx,2011,365,161
Laramie,1992,58,32
Pueblo,1987,15,56
Greene,2017,282,101
Knox,1999,240,205
Duplin,2003,259,122
Butler,2013,365,119
Oklahoma,1987,365,229
Onondaga,2003,365,182
Harford,1985,335,244
Indian River,2017,302,101
Cecil,2015,358,187
Aleutians East ,2002,119,47
Walker,2018,347,72
Beaver,2001,365,200
Clay,2007,365,185
Pinellas,1984,366,200
Del Norte,2018,180,77
Berkeley,2006,310,119
Linn,1996,366,200
Kenton,1993,365,179
Marshall,1999,365,200
Clark,2011,365,140
Maverick,2011,334,136
Highlands,2014,350,77
Tioga,2009,199,90
Frederick,2016,358,90
Pottawattamie,1987,59,65
Liberty,2011,330,74
Nassau,1991,365,200
Del Norte,2002,120,51
Pike,1993,60,59
Pennington,1988,158,86
Clinton,2008,366,138
Pope,2011,119,83
Warren,2007,204,119
Howard,1999,57,116
Charles,2004,205,179
Saratoga,2001,337,192
Coles,1991,55,51
Porter,2017,365,136
San Juan,1986,365,77
Pike,1999,359,206
Elk,2009,343,108
Bolivar,2019,364,96
Mesa,2014,365,101
St Thomas,1997,52,82
Morgan,1992,251,133
Latah,2004,292,64
Pottawattamie,2019,130,70
Denali ,2019,360,80
Atlantic,1981,365,268
Lake,1987,138,133
Siskiyou,2005,356,80
Carroll,2011,211,150
Sumner,2017,324,100
Adams,1995,365,151
Scioto,2001,362,158
West Baton Rouge,2002,362,143
Bexar,1996,364,182
Alachua,1987,331,69
Johnson,2003,121,109
Hays,2007,214,100
Saint Clair,1990,365,201
Richmond,2002,284,187
Hancock,2015,183,97
Shelby,1996,262,197
Sumter,2009,239,61
St. Louis City,1991,365,156
Nez Perce,2002,202,96
Silver Bow,2013,365,152
Cochise,2008,363,150
Saint Louis,1990,364,77
Oklahoma,2001,365,164
Multnomah,2018,365,152
Carter,1997,24,53
Powell,2015,120,171
Elko,1990,73,63
Grant,2001,358,151
Lehigh,2006,365,166
El Dorado,1997,365,201
Champaign,2017,365,105
Summit,2000,120,114
Geauga,2007,214,101
Franklin,2015,49,39
Dutchess,2007,360,156
Vieques,2003,57,74
Pasco,1997,364,147
Knox,2015,348,87
Dearborn,1982,363,200
Putnam,1992,361,125
Union,2016,364,99
Utah,2018,365,162
Cherokee,1992,360,197
Powell,2002,114,51
Mercer,2010,365,140
Pend Oreille,2006,16,19
Hampshire,1985,365,212
Camden,1995,204,156
Warren,1989,271,207
Wayne,2013,119,35
Clark,1993,365,200
Missoula,2007,365,159
Kennebec,1994,298,172
Kleberg,2003,55,79
Ramsey,2006,365,126
Jefferson,2002,365,200
Lowndes,2019,309,68
Armstrong,2012,366,159
Aroostook,1990,365,166
